  0.10  9.0484e-01  9.0484e-01  9.0484e-01
  0.20  8.1873e-01  8.1871e-01  8.1875e-01
  0.30  7.4082e-01  7.4074e-01  7.4091e-01
  0.40  6.7032e-01  6.7010e-01  6.7059e-01
  0.50  6.0653e-01  6.0606e-01  6.0714e-01
  0.60  5.4881e-01  5.4795e-01  5.5000e-01
  0.70  4.9659e-01  4.9516e-01  4.9865e-01
  0.80  4.4933e-01  4.4715e-01  4.5263e-01
  0.90  4.0657e-01  4.0346e-01  4.1154e-01
  1.00  3.6788e-01  3.6364e-01  3.7500e-01
  1.10  3.3287e-01  3.2730e-01  3.4268e-01
  1.20  3.0119e-01  2.9412e-01  3.1429e-01
  1.30  2.7253e-01  2.6377e-01  2.8953e-01
  1.40  2.4660e-01  2.3599e-01  2.6818e-01
  1.50  2.2313e-01  2.1053e-01  2.5000e-01
  1.60  2.0190e-01  1.8717e-01  2.3478e-01
  1.70  1.8268e-01  1.6571e-01  2.2234e-01
  1.80  1.6530e-01  1.4599e-01  2.1250e-01
  1.90  1.4957e-01  1.2783e-01  2.0510e-01
  2.00  1.3534e-01  1.1111e-01  2.0000e-01
  2.10  1.2246e-01  9.5694e-02  1.9706e-01
  2.20  1.1080e-01  8.1466e-02  1.9615e-01
  2.30  1.0026e-01  6.8326e-02  1.9717e-01
  2.40  9.0718e-02  5.6180e-02  2.0000e-01
  2.50  8.2085e-02  4.4944e-02  2.0455e-01
  2.60  7.4274e-02  3.4542e-02  2.1071e-01
  2.70  6.7206e-02  2.4907e-02  2.1842e-01
  2.80  6.0810e-02  1.5974e-02  2.2759e-01
  2.90  5.5023e-02  7.6894e-03  2.3814e-01
  3.00  4.9787e-02 -9.8686e-17  2.5000e-01
  3.10  4.5049e-02 -7.1403e-03  2.6311e-01
  3.20  4.0762e-02 -1.3774e-02  2.7742e-01
  3.30  3.6883e-02 -1.9940e-02  2.9286e-01
  3.40  3.3373e-02 -2.5674e-02  3.0938e-01
  3.50  3.0197e-02 -3.1008e-02  3.2692e-01
  3.60  2.7324e-02 -3.5971e-02  3.4545e-01
  3.70  2.4724e-02 -4.0591e-02  3.6493e-01
  3.80  2.2371e-02 -4.4893e-02  3.8529e-01
  3.90  2.0242e-02 -4.8900e-02  4.0652e-01
  4.00  1.8316e-02 -5.2632e-02  4.2857e-01
  4.10  1.6573e-02 -5.6108e-02  4.5141e-01
  4.20  1.4996e-02 -5.9347e-02  4.7500e-01
  4.30  1.3569e-02 -6.2365e-02  4.9932e-01
  4.40  1.2277e-02 -6.5177e-02  5.2432e-01
  4.50  1.1109e-02 -6.7797e-02  5.5000e-01
  4.60  1.0052e-02 -7.0237e-02  5.7632e-01
  4.70  9.0953e-03 -7.2510e-02  6.0325e-01
  4.80  8.2297e-03 -7.4627e-02  6.3077e-01
  4.90  7.4466e-03 -7.6597e-02  6.5886e-01
  5.00  6.7379e-03 -7.8431e-02  6.8750e-01
